domain_name,registration_date,expiration_date,category,subcategory,status,priority,seo_value,template,notes,target_audience,business_goals,keywords,geographic_focus,industry,hosting,forwarding_url,development_phase,last_updated
accountreceivablesinsurance.com,2022-01-01,2025-01-01,insurance,specialty,not_active,medium,50,specialty,"Insurance for accounts receivable protection",business_owners,"Specialty insurance leads",accounts receivable insurance protection,National,finance,None,N/A,planning,2025-03-09
ahwatukeeinsurance.com,2022-01-01,2025-01-01,geographic,arizona,not_active,medium,60,local-service,"Ahwatukee AZ insurance agency",local_residents,"Local insurance leads",ahwatukee insurance arizona phoenix,Arizona,insurance,None,N/A,planning,2025-03-09
ahwatukeemortgages.com,2022-01-01,2025-01-01,finance,mortgage,not_active,low,55,local-service,"Ahwatukee AZ mortgage services",home_buyers,"Local mortgage leads",ahwatukee mortgages home loans arizona,Arizona,finance,None,N/A,planning,2025-03-09
americanmadeinsurance.com,2022-01-01,2025-01-01,insurance,specialty,not_active,medium,65,specialty,"Insurance for American-made products",manufacturers,"Specialty insurance leads",american made usa manufacturing insurance,National,manufacturing,None,N/A,planning,2025-03-09
arizonaalpineacademy.com,2022-01-01,2025-01-01,educational,specialty,not_active,low,40,educational,"Alpine training academy",outdoor_enthusiasts,"Niche educational site",alpine climbing mountaineering arizona,Arizona,outdoor_recreation,None,N/A,planning,2025-03-09
arizonabarndo.com,2022-01-01,2025-01-01,construction,specialty,not_active,medium,70,local-service,"Arizona barndominium construction",property_owners,"Lead generation for construction",barndominium barn construction arizona,Arizona,construction,None,N/A,planning,2025-03-09
arizonabarndominium.com,2022-01-01,2025-01-01,construction,specialty,not_active,medium,75,local-service,"Arizona barndominium construction and information",property_owners,"Lead generation for construction",barndominium barn home construction arizona,Arizona,construction,None,N/A,planning,2025-03-09
arizonacommercialroofing.com,2022-01-01,2025-01-01,construction,roofing,not_active,high,80,local-service,"Commercial roofing services in Arizona",business_owners,"Commercial roofing leads",commercial roofing flat roof arizona,Arizona,construction,None,N/A,planning,2025-03-09
arizonaconcretelifting.com,2022-01-01,2025-01-01,construction,concrete,not_active,medium,70,local-service,"Concrete lifting and leveling services",property_owners,"Service leads for concrete work",concrete lifting leveling repair arizona,Arizona,construction,None,N/A,planning,2025-03-09
arizonaenergyauditor.com,2018-07-20,2026-07-20,construction,energy,not_active,medium,65,local-service,"Local energy audit service",homeowners,"Local service leads",energy audit home efficiency arizona,Arizona,energy,None,N/A,planning,2025-03-05
arizonahoodventcleaning.com,2022-01-01,2025-01-01,construction,specialty,not_active,medium,60,local-service,"Hood vent cleaning services",business_owners,"Service leads for hood cleaning",hood vent exhaust cleaning arizona restaurant,Arizona,maintenance,None,N/A,planning,2025-03-09
arizonainsulationremoval.com,2022-01-01,2025-01-01,construction,insulation,not_active,medium,65,local-service,"Insulation removal services in Arizona",homeowners,"Service leads for insulation removal",insulation removal attic arizona,Arizona,construction,None,N/A,planning,2025-03-09
arizonapolyurea.com,2022-01-01,2025-01-01,construction,coatings,not_active,medium,70,local-service,"Polyurea coating applications in Arizona",contractors,"Service leads for coatings",polyurea coating spray arizona,Arizona,construction,None,N/A,planning,2025-03-09
arizonapolyureacoating.com,2022-01-01,2025-01-01,construction,coatings,not_active,medium,68,local-service,"Polyurea coating services in Arizona",contractors,"Service leads for coatings",polyurea coating application arizona,Arizona,construction,None,N/A,planning,2025-03-09
arizonapolyureacoatings.com,2022-01-01,2025-01-01,construction,coatings,not_active,medium,68,local-service,"Multiple polyurea coating services",contractors,"Service leads for coatings",polyurea coatings plural arizona,Arizona,construction,None,N/A,planning,2025-03-09
arizonaspf.com,2022-01-01,2025-01-01,construction,spray_foam,not_active,medium,65,local-service,"Spray foam insulation services",homeowners,"Service leads for spray foam",spray foam insulation spf arizona,Arizona,construction,None,N/A,planning,2025-03-09
austinconcrete.co,2022-01-01,2025-01-01,construction,concrete,not_active,medium,60,local-service,"Concrete services in Austin TX",property_owners,"Service leads for concrete work",concrete services austin texas,Texas,construction,None,N/A,planning,2025-03-09
austinconcreteco.com,2022-01-01,2025-01-01,construction,concrete,not_active,medium,60,local-service,"Austin concrete company services",property_owners,"Service leads for concrete work",concrete contractor austin texas,Texas,construction,None,N/A,planning,2025-03-09
azalpineacademy.com,2022-01-01,2025-01-01,educational,specialty,not_active,low,38,educational,"Arizona alpine training academy",outdoor_enthusiasts,"Niche educational site",alpine climbing mountaineering az,Arizona,outdoor_recreation,None,N/A,planning,2025-03-09
azbarndo.com,2022-01-01,2025-01-01,construction,specialty,not_active,medium,60,local-service,"Arizona barndominium abbreviated",property_owners,"Lead generation for construction",barndominium barn construction az,Arizona,construction,None,N/A,planning,2025-03-09
azbarndominium.com,2022-01-01,2025-01-01,construction,specialty,not_active,medium,65,local-service,"Arizona barndominium abbreviated version",property_owners,"Lead generation for construction",barndominium barn home construction az,Arizona,construction,None,N/A,planning,2025-03-09
azenergyauditor.com,2018-07-20,2026-07-20,construction,energy,not_active,medium,60,local-service,"Local energy audit service (abbreviated)",homeowners,"Local service leads",energy audit home efficiency az,Arizona,energy,None,N/A,planning,2025-03-05
azhoodventcleaning.com,2022-01-01,2025-01-01,construction,specialty,not_active,medium,55,local-service,"Hood vent cleaning abbreviated",business_owners,"Service leads for hood cleaning",hood vent exhaust cleaning az restaurant,Arizona,maintenance,None,N/A,planning,2025-03-09
azinsulationremoval.com,2022-01-01,2025-01-01,construction,insulation,not_active,medium,60,local-service,"Insulation removal abbreviated",homeowners,"Service leads for insulation removal",insulation removal attic az,Arizona,construction,None,N/A,planning,2025-03-09
azmortgage.co,2022-01-01,2025-01-01,finance,mortgage,not_active,medium,65,local-service,"Arizona mortgage services",home_buyers,"Mortgage lead generation",mortgage home loan arizona az,Arizona,finance,None,N/A,planning,2025-03-09
azmusclecar.com,2022-01-01,2025-01-01,specialty,vehicles,not_active,low,45,specialty,"Arizona muscle car community",car_enthusiasts,"Specialty insurance leads",muscle car classic auto arizona,Arizona,automotive,None,N/A,planning,2025-03-09
azpolyureacoating.com,2022-01-01,2025-01-01,construction,coatings,not_active,medium,60,local-service,"Arizona polyurea coating abbreviated",contractors,"Service leads for coatings",polyurea coating application az,Arizona,construction,None,N/A,planning,2025-03-09
barandnightclubinsurance.com,2022-01-01,2025-01-01,insurance,specialty,not_active,medium,75,specialty,"Insurance for bars and nightclubs",business_owners,"Specialty insurance leads",bar nightclub insurance liability,National,entertainment,None,N/A,planning,2025-03-09
barndobonds.com,2018-06-12,2025-06-12,insurance,specialty,forwarded,medium,65,specialty,"Specialized insurance for barndominiums and similar structures",property_owners,"Specialty insurance leads",barndominium bonds insurance surety,National,construction,None,https://barndomiuminsurance.com,forwarding,2025-03-05
barndofinancing.co,2022-01-01,2025-01-01,finance,specialty,not_active,medium,70,property,"Financing for barndominium construction",property_owners,"Lead generation for financing",barndominium financing loan mortgage,National,finance,None,N/A,planning,2025-03-09
barndoinsulation.com,2022-01-01,2025-01-01,construction,insulation,not_active,medium,65,specialty,"Insulation services for barndominiums",property_owners,"Service leads for insulation",barndominium insulation energy efficiency,National,construction,None,N/A,planning,2025-03-09
barndoinsurance.com,2022-01-01,2025-01-01,insurance,property_type,not_active,high,80,property,"Insurance specifically for barndo structures",property_owners,"Property insurance leads",barndo barn insurance coverage,National,insurance,None,N/A,planning,2025-03-09
barndominium-financing.com,2022-01-01,2025-01-01,finance,specialty,not_active,medium,75,property,"Financing for barndominium with hyphen",property_owners,"Lead generation for financing",barndominium financing loan mortgage hyphen,National,finance,None,N/A,planning,2025-03-09
barndominiumbonds.com,2022-01-01,2025-01-01,insurance,specialty,not_active,medium,65,specialty,"Bonds for barndominium construction",property_owners,"Specialty insurance leads",barndominium bonds surety contractor,National,construction,None,N/A,planning,2025-03-09
barndominiumfinancing.co,2022-01-01,2025-01-01,finance,specialty,not_active,medium,75,property,"Financing for barndominium co TLD",property_owners,"Lead generation for financing",barndominium financing loan mortgage co,National,finance,None,N/A,planning,2025-03-09
barndominiumfinancing.com,2022-01-01,2025-01-01,finance,specialty,not_active,high,80,property,"Primary financing for barndominium",property_owners,"Lead generation for financing",barndominium financing loan mortgage,National,finance,None,N/A,planning,2025-03-09
barndominiumfinancing.info,2022-01-01,2025-01-01,finance,specialty,not_active,low,50,property,"Informational site on barndominium financing",property_owners,"Educational content for financing",barndominium financing loan info,National,finance,None,N/A,planning,2025-03-09
barndominiumfinancing.net,2022-01-01,2025-01-01,finance,specialty,not_active,low,50,property,"Net TLD barndominium financing",property_owners,"Lead generation for financing",barndominium financing loan mortgage net,National,finance,None,N/A,planning,2025-03-09
barndominiumfinancing.org,2022-01-01,2025-01-01,finance,specialty,not_active,low,50,property,"Org TLD barndominium financing",property_owners,"Educational content for financing",barndominium financing loan mortgage org,National,finance,None,N/A,planning,2025-03-09
barndominiuminsulation.com,2022-01-01,2025-01-01,construction,insulation,not_active,medium,65,specialty,"Insulation for barndominium full name",property_owners,"Service leads for insulation",barndominium insulation energy efficiency full,National,construction,None,N/A,planning,2025-03-09
barndominiuminsurance.com,2021-01-05,2027-01-05,insurance,property_type,active,high,75,property,"Barndominium insurance specialty",property_owners,"Specialty property insurance leads",barndominium insurance rural property,Rural,property,None,N/A,completed,2025-03-05
barndominiummortgage.co,2022-01-01,2025-01-01,finance,specialty,not_active,medium,70,property,"Mortgage specifically for barndominiums",property_owners,"Lead generation for financing",barndominium mortgage loan financing co,National,finance,None,N/A,planning,2025-03-09